Clapeyron Database File,,,,
SAFTgammaMie Unlike Parameters [csvtype = unlike,grouptype = SAFTgammaMie]
species1,species2,epsilon,lambda_r,source
H2O,CH3,358.18,100.,
H2O,CH2,423.63,100.,
H2O,CH2OH,353.37,,
H2O,aCH~|~aCH_5,357.78,38.64,
H2O,aCCH3~|~aCCH3_5,360.7,,
H2O,aCNH2,648.34,,
H2O,aN~|~aN_5,1117.8,100.,
H2O,aN2,374.59,71.687,
H2O,afC,248.439,100.,
H2O,afCp,200.12,42.249,
H2O,cCH2,350.99,28.,
H2O,cCH2_5,150.00,100.,
H2O,cCH,377.16,22.265,
H2O,cCHOH,346.97,,
H2O,cCHOHn,392.72,,
H2O,cC=O,292.73,66.528,
H2O,cC=O_2,355.73,22.250,
H2O,cyO,525.86,10,
H2O,cNH,523.83,8.4243,
H2O,cNH_5,411.87,8.0000,
H2O,cN,2990,66.109,
H2O,cN_5,699.99,58.067,
H2O,cN_2,1219.6,8.0012,
H2O,PO43-~|~PO4-~|~phosphate,292.5402352750329,,
H2O,NH4+~|~ammonium,390.2670371916854,,
H2O,H3O+~|~hydronium,391.04,,
H2O,CH2OE,283.38,11.885,
H2O,cO,350.09,14.872,
CH3,CH2~|~CH2OE,350.77,,
CH3,CH2OH,333.2,,
CH3,aCH,305.81,,
CH3,aCH_5,556.95,19.801,
CH3,aCCH3~|~aCCH3_5,358.58,,
CH3,aCNH2,458.84,10.215,
CH3,aN~|~aN2,564.54,11.042,
CH3,aN_5,960.87,8.1231,
CH3,afC,476.07,8.5539,
CH3,afCp,217.3,67.497,
CH3,cCH2~|~cCH2_5,355.95,,
CH3,cCH,690.17,,
CH3,cCHOH~|~cCHOHn,281.09,,
CH3,cC=O~|~cC=O_2,442.07,90.455,
CH3,cyO~|~cO,379.50,21.085,
CH3,cNH,583.72,,
CH3,cNH_5,460.19,25.161,
CH3,cN~|~cN_5~|~cN_2,710,,
CH2~|~CH2OE,CHOH~|~CH2OH~|~CH3OH,423.17,,
CH2~|~CH2OE,aCH,415.64,,
CH2~|~CH2OE,aCH_5,494.93,18.279,
CH2~|~CH2OE,aCCH3~|~aCCH3_5,569.18,,
CH2~|~CH2OE,aCNH2,261.98,11.077,
CH2~|~CH2OE,aN~|~aN2,975.05,100.,
